wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/406c020n_0.8324_025c0203_-0.8324.wav
fan,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/fan_Freesound_validated_173346_2.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/407c021e_2.3855_01na010n_-2.3855.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/406c020s_1.5699_405o030j_-1.5699.wav
noise,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/noise/free-sound/noise-free-sound-0360.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/40io0304_1.1928_01fo030l_-1.1928.wav
Emergency vehicle,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/RcLglxLbSOA.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/40lc020t_0.42706_028o030z_-0.42706.wav
Vibration,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/ajs3g05UQY8.wav
Siren,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/ZR3wDtFc7Tk.wav
"Propeller, airscrew",/media/lab70809/Data01/speech_donoiser_new/datasets/noise/ysm2Wt5fPH4.wav
Scratching (performance technique),/media/lab70809/Data01/speech_donoiser_new/datasets/noise/VPIFPj8g6js.wav
noise,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/noise/free-sound/noise-free-sound-0413.wav
Bell,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/uZQ_TxHrWZM.wav
Fowl,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/cOb0ZyifCJ4.wav
"Traffic noise, roadway noise",/media/lab70809/Data01/speech_donoiser_new/datasets/noise/7xt6WcsDoLg.wav
Fowl,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/-3Qyf1jECX0.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/01oc020f_1.6683_018o0310_-1.6683.wav
noise,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/noise/free-sound/noise-free-sound-0275.wav
Siren,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/PHpH4T5CfgY.wav
Helicopter,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/iIPPjxjE7uA.wav
noise,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/noise/free-sound/noise-free-sound-0460.wav
Brass instrument,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/r-6NvhK0MAA.wav
noise,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/noise/free-sound/noise-free-sound-0375.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/20do010g_0.3867_018a0113_-0.3867.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/024c020k_0.5626_20kc0109_-0.5626.wav
door,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/door_Freesound_validated_455321_0.wav
Tools,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/WnNsOjQ6uKI.wav
Organ,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/P6gOl6B_jQA.wav
Engine,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/Lm8sAoNJO1M.wav
Bark,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/bQktB2Fa_MA.wav
Thunderstorm,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/mxNFrXtdV7U.wav
Cello,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/dFmUAKjd2aM.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/40eo030o_1.8606_40jc0219_-1.8606.wav
Skidding,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/C6dQtHN0XpQ.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/02aa010z_0.36451_021o031d_-0.36451.wav
Glass,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/PugAdmIQdEk.wav
music,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/music/jamendo/music-jamendo-0000.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/019c0214_1.638_01lc021e_-1.638.wav
"Inside, small room",/media/lab70809/Data01/speech_donoiser_new/datasets/noise/C0Fn_O8xWi0.wav
Sheep,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/kExR6DA3f14.wav
Music,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/jeHpRlFo8Ek.wav
noise,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/noise/free-sound/noise-free-sound-0670.wav
Frying (food),/media/lab70809/Data01/speech_donoiser_new/datasets/noise/YSnqN9kM7Hs.wav
Music,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/VYnfso99TkE.wav
"Wind instrument, woodwind instrument",/media/lab70809/Data01/speech_donoiser_new/datasets/noise/nv7iEr1PhME.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/20na010w_0.55768_40ka010c_-0.55768.wav
Wind chime,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/7Aq-Jah5P7U.wav
Tools,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/822HElRsp8U.wav
Fireworks,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/KSgGhiu_gik.wav
Bark,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/GV_PJDvWaBo.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/01jc0218_1.2295_20lc010g_-1.2295.wav
"Bee, wasp, etc.",/media/lab70809/Data01/speech_donoiser_new/datasets/noise/q7rwzr45Fe0.wav
"Cattle, bovinae",/media/lab70809/Data01/speech_donoiser_new/datasets/noise/bJSnw-b4W8Y.wav
door,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/door_Freesound_validated_193836_0.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/01nc0216_2.0609_024c0219_-2.0609.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/401c0218_2.2879_20va010m_-2.2879.wav
Music,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/UeCGA4O1mLY.wav
"Cattle, bovinae",/media/lab70809/Data01/speech_donoiser_new/datasets/noise/ixY9YJ3E-h4.wav
Music,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/5gTB5MhMSH0.wav
Electric guitar,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/zoVdrVMMU5I.wav
Organ,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/YwUrT4noAok.wav
music,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/music/jamendo/music-jamendo-0215.wav
door,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/door_Freesound_validated_177193_0.wav
Synthesizer,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/DhnhMHpBq3c.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/021o030m_1.2361_40mo0305_-1.2361.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/022o0313_1.2691_20ko010k_-1.2691.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/01sc0207_0.076182_40oo030z_-0.076182.wav
Chime,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/W3IZrAuCiUg.wav
music,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/music/rfm/music-rfm-0146.wav
door,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/door_Freesound_validated_414198_10.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/01ac0207_1.5998_01fc0218_-1.5998.wav
"Motorboat, speedboat",/media/lab70809/Data01/speech_donoiser_new/datasets/noise/UDM472ZyTg4.wav
Electric piano,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/sFZR4n5N7_k.wav
Sizzle,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/XFeMq1z6UwI.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/40ea010s_0.53772_407o0315_-0.53772.wav
STR,/media/lab70809/Data01/speech_donoiser_new/datasets/chime4_noise_classified/STR/BGD_150212_050_STR.CH5.wav
Drum,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/-PN0FyUJTig.wav
Motorcycle,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/44_N9XcPBxo.wav
music,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/music/jamendo/music-jamendo-0093.wav
Vehicle,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/8gDtqpS6IFY.wav
typing,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/typing_Freesound_validated_458260_0.wav
noise,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/noise/free-sound/noise-free-sound-0436.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/026o030n_1.0723_01uc0214_-1.0723.wav
Music,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/jvmTHSgoeG8.wav
Speech,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/86nwIaavfTs.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/027o0311_2.1481_20ao010p_-2.1481.wav
Whistling,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/xqqGEZJtH40.wav
door,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/door_Freesound_validated_442487_13.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/20da010r_1.8917_40fo030u_-1.8917.wav
Music,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/oPDiIdk9tAk.wav
"Wind instrument, woodwind instrument",/media/lab70809/Data01/speech_donoiser_new/datasets/noise/2_P7nIGkhVk.wav
Accordion,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/CcQxefCMNLc.wav
noise,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/noise/free-sound/noise-free-sound-0728.wav
"Bee, wasp, etc.",/media/lab70809/Data01/speech_donoiser_new/datasets/noise/-AX4UT8h78Y.wav
Ringtone,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/PoznXeRHWiU.wav
Medium engine (mid frequency),/media/lab70809/Data01/speech_donoiser_new/datasets/noise/3sqpxC0wZ1Y.wav
music,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/music/jamendo/music-jamendo-0153.wav
wham,/media/lab70809/Data01/speech_donoiser_new/datasets/wham_noise/tr/027o030c_1.1823_40fa010l_-1.1823.wav
Vacuum cleaner,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/7W_nNAwMKfk.wav
Sink (filling or washing),/media/lab70809/Data01/speech_donoiser_new/datasets/noise/ONh6Jb2MbSo.wav
Tick,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/qhGX61v9JhI.wav
music,/media/lab70809/Data01/speech_donoiser_new/datasets/musan/music/jamendo/music-jamendo-0205.wav
Didgeridoo,/media/lab70809/Data01/speech_donoiser_new/datasets/noise/W955aowetqM.wav
